transfer_budget,salary_budget,feasible,team_index,GF_index,GA_index,GK,CB1,CB2,CB3,CM1,CM2,CM3,CM4,CM5,ST1,ST2
5000000,1000000,True,1.16,4.92,3.76,Đặng Văn Lâm,Trần Đình Trọng,Khuất Văn Khang,Nguyễn Quốc Việt,Lương Xuân Trường,Dụng Quang Nho,Nguyễn Đình Bắc,Nguyễn Văn Trường,Nguyễn Thanh Bình,Nhâm Mạnh Dũng,Nguyễn Văn Tùng
5000000,2000000,True,1.83,5.19,3.36,Đặng Văn Lâm,Nguyễn Quốc Việt,Nguyễn Công Phượng,Nhâm Mạnh Dũng,Dụng Quang Nho,Phan Tuấn Tài,Nguyễn Đình Bắc,Nguyễn Văn Trường,Khuất Văn Khang,Phạm Tuấn Hải,Nguyễn Văn Tùng
5000000,3000000,True,1.83,5.19,3.36,Đặng Văn Lâm,Nguyễn Quốc Việt,Nguyễn Công Phượng,Nhâm Mạnh Dũng,Dụng Quang Nho,Phan Tuấn Tài,Nguyễn Văn Trường,Nguyễn Đình Bắc,Khuất Văn Khang,Phạm Tuấn Hải,Nguyễn Văn Tùng
5000000,4000000,True,1.83,5.19,3.36,Đặng Văn Lâm,Nguyễn Quốc Việt,Nguyễn Công Phượng,Nhâm Mạnh Dũng,Dụng Quang Nho,Phan Tuấn Tài,Nguyễn Văn Trường,Nguyễn Đình Bắc,Khuất Văn Khang,Phạm Tuấn Hải,Nguyễn Văn Tùng
5000000,5000000,True,1.83,5.19,3.36,Đặng Văn Lâm,Nguyễn Quốc Việt,Nguyễn Công Phượng,Nhâm Mạnh Dũng,Dụng Quang Nho,Phan Tuấn Tài,Nguyễn Đình Bắc,Khuất Văn Khang,Nguyễn Văn Trường,Phạm Tuấn Hải,Nguyễn Văn Tùng
5000000,6000000,True,1.83,5.19,3.36,Đặng Văn Lâm,Nguyễn Quốc Việt,Nguyễn Công Phượng,Nhâm Mạnh Dũng,Phan Tuấn Tài,Dụng Quang Nho,Nguyễn Đình Bắc,Nguyễn Văn Trường,Khuất Văn Khang,Phạm Tuấn Hải,Nguyễn Văn Tùng
5000000,7000000,True,1.83,5.19,3.36,Đặng Văn Lâm,Nguyễn Quốc Việt,Nguyễn Công Phượng,Nhâm Mạnh Dũng,Phan Tuấn Tài,Dụng Quang Nho,Nguyễn Đình Bắc,Nguyễn Văn Trường,Khuất Văn Khang,Phạm Tuấn Hải,Nguyễn Văn Tùng
5000000,8000000,True,1.83,5.19,3.36,Đặng Văn Lâm,Nguyễn Quốc Việt,Nguyễn Công Phượng,Nhâm Mạnh Dũng,Phan Tuấn Tài,Dụng Quang Nho,Nguyễn Đình Bắc,Nguyễn Văn Trường,Khuất Văn Khang,Phạm Tuấn Hải,Nguyễn Văn Tùng
5000000,9000000,True,1.83,5.19,3.36,Đặng Văn Lâm,Nguyễn Quốc Việt,Nguyễn Công Phượng,Nhâm Mạnh Dũng,Phan Tuấn Tài,Dụng Quang Nho,Nguyễn Đình Bắc,Nguyễn Văn Trường,Khuất Văn Khang,Phạm Tuấn Hải,Nguyễn Văn Tùng
5000000,10000000,True,1.83,5.19,3.36,Đặng Văn Lâm,Nguyễn Quốc Việt,Nguyễn Công Phượng,Nhâm Mạnh Dũng,Phan Tuấn Tài,Dụng Quang Nho,Nguyễn Đình Bắc,Nguyễn Văn Trường,Khuất Văn Khang,Phạm Tuấn Hải,Nguyễn Văn Tùng
5000000,11000000,True,1.83,5.19,3.36,Đặng Văn Lâm,Nguyễn Quốc Việt,Nguyễn Công Phượng,Nhâm Mạnh Dũng,Phan Tuấn Tài,Dụng Quang Nho,Nguyễn Đình Bắc,Nguyễn Văn Trường,Khuất Văn Khang,Phạm Tuấn Hải,Nguyễn Văn Tùng
5000000,12000000,True,1.83,5.19,3.36,Đặng Văn Lâm,Nguyễn Quốc Việt,Nguyễn Công Phượng,Nhâm Mạnh Dũng,Phan Tuấn Tài,Dụng Quang Nho,Nguyễn Đình Bắc,Nguyễn Văn Trường,Khuất Văn Khang,Phạm Tuấn Hải,Nguyễn Văn Tùng
5000000,13000000,True,1.83,5.19,3.36,Đặng Văn Lâm,Nguyễn Quốc Việt,Nguyễn Công Phượng,Nhâm Mạnh Dũng,Phan Tuấn Tài,Dụng Quang Nho,Nguyễn Đình Bắc,Nguyễn Văn Trường,Khuất Văn Khang,Phạm Tuấn Hải,Nguyễn Văn Tùng
5000000,14000000,True,1.83,5.19,3.36,Đặng Văn Lâm,Nguyễn Quốc Việt,Nguyễn Công Phượng,Nhâm Mạnh Dũng,Phan Tuấn Tài,Dụng Quang Nho,Nguyễn Đình Bắc,Nguyễn Văn Trường,Khuất Văn Khang,Phạm Tuấn Hải,Nguyễn Văn Tùng
